portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean,hist_mean_train_const,hist_mean_prevailing_avg
5-Dec,2010-01-01,996,191,0.005140256921859376,1.6602920601554105,0.04842785611693645,True,True,0.000824116243928863,0.004319700613374833,-1.4489882931136965e-05,1.7240853611058538e-05,0.0033398821506937545,0.0033543720336248915,0.003357138706165765,0.008567570281124497,0.008806754904676061
6-Dec,1995-01-01,816,371,-0.0005032435987724071,0.056415140513813834,0.47750554788910293,False,False,0.0007749652204980251,-0.0012792001549004617,3.7343838724672625e-06,5.532475597536807e-05,0.0029230460007145767,0.0029193116168421095,0.0029215757364268913,0.009306004901960785,0.009003385741984995
6-Dec,2000-01-01,876,311,0.0007215254906173252,0.43554220028561913,0.3315844573111406,False,False,0.0006651786627591694,5.638433351373706e-05,-1.69578473409749e-07,3.735829407039426e-05,0.003007376362784736,0.0030075459412581456,0.003009547828258056,0.009345205479452053,0.008926723246204329
6-Dec,2010-01-01,996,191,0.003853864014413122,1.6648224267505691,0.04797409412088294,True,True,0.0008605835784843974,0.002995858622662828,-8.76226061206041e-06,-2.3034288972864636e-05,0.00291602883125599,0.0029247910918680504,0.002927310287030197,0.00869558232931727,0.008943872222616446
7-Dec,1995-01-01,816,371,0.0016294189635710499,0.929099319983106,0.1764188084309497,False,False,0.0009130026780378442,0.0007170709732521319,-2.018127497493364e-06,-1.2315679534601054e-05,0.0028123859869802633,0.0028144041144777567,0.0028169760211290158,0.007977696078431374,0.008182857705613389
7-Dec,2000-01-01,876,311,0.0015831066964975271,0.8961399507662612,0.18508901112148246,False,False,0.0009120982498528329,0.0006716210310115933,-1.973873787519502e-06,-6.818200690664189e-06,0.002936995718255038,0.0029389695920425574,0.0029416526682929825,0.008471575342465754,0.008170359804223048
7-Dec,2010-01-01,996,191,0.0027665719235179242,1.4264517358364843,0.07686899453062901,True,False,0.0006547718328707708,0.0021131837438402856,-5.979638148047566e-06,1.8107661436186917e-06,0.0028237024306628994,0.002829682068810947,0.0028315360788791545,0.007910542168674699,0.008174249939755776
8-Dec,1995-01-01,816,371,0.0012180841891417105,1.1881406564520183,0.1173889994766224,False,False,0.0009517387457010917,0.0002665991762061948,-6.96838593039744e-07,1.6750252391985188e-05,0.002613109411509293,0.0026138062501023327,0.002616296280642854,0.007765686274509805,0.007862599054115574
8-Dec,2000-01-01,876,311,0.001162495318491219,0.9395747079581972,0.17371787734145405,False,False,0.0009593024361178593,0.00020338799297048293,-5.514598802919442e-07,1.5229683128649418e-05,0.0027108174475850783,0.0027113689074653702,0.0027139724278269412,0.008117694063926942,0.007852298115873428
8-Dec,2010-01-01,996,191,0.0009922677349694098,0.6113266604668999,0.27049167224047244,False,False,0.00024952873008154963,0.0007429243858664281,-1.763337694899933e-06,2.859220987612432e-05,0.0023717456336702276,0.0023735089713651275,0.0023741013778670315,0.0074788152610441765,0.007900755389933239
9-Dec,1995-01-01,816,371,0.0006703457271467483,1.0820968487545046,0.1396047479568674,False,False,0.0007187548100516805,-4.8443902192607524e-05,1.0528877043489149e-07,3.0649997131704243e-06,0.0021735216666710923,0.0021734163779006574,0.0021749796549894456,0.006961151960784314,0.007228033435272165
9-Dec,2000-01-01,876,311,0.0009493611614362907,0.9481209283444599,0.17153394755604612,False,False,0.0009598139618687274,-1.046284281502885e-05,2.343345347063583e-08,3.436636328277287e-06,0.002239706651952579,0.0022396832184991083,0.002241834962996798,0.007501141552511415,0.007215754185724431
9-Dec,2010-01-01,996,191,0.00020731435711618396,0.21753028737265995,0.41389755306904585,False,False,0.00011038682295971824,9.693823486023323e-05,-1.9742461110101167e-07,7.816732466851828e-06,0.0020364046590315606,0.0020366020836426616,0.0020368269224955546,0.006889056224899598,0.007253090498679813
Hi 10,1995-01-01,816,371,0.0006533093361975606,0.4444718817853146,0.32835072683352995,False,False,0.00026270928251970194,0.00039070269490248943,-7.429615193296248e-07,-3.941651438320315e-06,0.001900860301071385,0.0019016032625907146,0.001902102962695323,0.005836887254901961,0.006064098316692931
Hi 10,2000-01-01,876,311,0.0014417463213416415,0.7660545560053111,0.22182192062209616,False,False,0.0008338678359114393,0.0006083857987797536,-1.160860950122659e-06,-1.6850834893750166e-05,0.0019069391513300876,0.0019081000122802103,0.0019096924433852323,0.006777625570776257,0.006011792326226575
Hi 10,2010-01-01,996,191,-0.0017340253855606669,-0.9109354910303418,0.8188353179022256,False,False,-0.002148271566604798,0.00041335817542897946,-7.207955941082329e-07,-2.5086258643121362e-05,0.0017430347098102547,0.001743755505404363,0.0017400174753367016,0.005579116465863455,0.006030186597449483
