portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean
Hi 10,2000-01-01,876,311,0.0016999662404506566,0.8770083200620579,0.1902410594926427,False,False,0.0008338678359114393,0.0008668212188731594,-1.653981578376637e-06,-2.3959224893274622e-05,0.0019064460307018337,0.0019081000122802103,0.0019096924433852323
Lo 30,2010-01-01,996,191,0.004455046234424831,1.2122802689576728,0.11270255706130738,False,False,0.0009032710795038312,0.0035549862712077607,-1.3076156386663488e-05,-1.7524417450766328e-05,0.003665181757734919,0.0036782579141215826,0.0036815833819172504
Med 40,2010-01-01,996,191,0.0018047647755944363,0.8922718197049638,0.1861236275108923,False,False,0.0008071978861146079,0.0009983727738724912,-2.986991107529341e-06,-2.12678327139032e-06,0.002988872548434552,0.0029918595395420815,0.0029942765132139905
Hi 30,2010-01-01,996,191,-0.0014404268186796187,-0.8501119570049364,0.802368577751703,False,False,-0.0015922316427006145,0.00015156349982081707,-2.688390360967765e-07,-4.152944007171366e-06,0.0017735027907733174,0.0017737716298094142,0.0017709518642135137
Lo 20,2010-01-01,996,191,0.006236037873408096,1.4609555095921343,0.07201382570848325,True,False,0.0008221962090331214,0.005418296567271996,-2.0462760379953617e-05,-5.5388987895345354e-05,0.0037561412194675576,0.003776603979847511,0.003779711644432802
Qnt 2,2010-01-01,996,191,0.0028450060000296817,0.9957134881763158,0.1596946873035412,False,False,0.0009065227099674944,0.0019402421636462996,-6.843758452247054e-06,1.130690040645338e-05,0.0035204264867141665,0.0035272702451664135,0.0035304706970301462
Qnt 3,2010-01-01,996,191,0.0015769483566991926,0.7863501516003002,0.2158311893069248,False,False,0.0008485015421455522,0.0007290654276933539,-2.242866954499899e-06,8.4793554630605e-06,0.0030741160842522493,0.003076358951206749,0.0030789714632415317
Qnt 4,2010-01-01,996,191,0.0008832096059729899,0.5544459476436816,0.28963684402472145,False,False,0.00044038738420038026,0.0004430173210117072,-1.1106140330200895e-06,1.7979592111277976e-05,0.00250582078649054,0.00250693140052356,0.0025080359078965193
Hi 20,2010-01-01,996,191,-0.0015445997060088423,-0.9097368712345495,0.8185193528924644,False,False,-0.0017636987412861238,0.0002187132909213796,-3.8303942021542317e-07,-4.143715306971496e-06,0.0017509482061651138,0.0017513312455853293,0.0017482478630298475
Lo 10,2010-01-01,996,191,0.009955968398340231,1.6333304444759766,0.051199758541462415,True,False,0.00022970706598857138,0.009728496036632839,-3.457722263957089e-05,-2.9665428986892783e-05,0.003519643543794403,0.003554220766433974,0.0035550373836408496
2-Dec,2010-01-01,996,191,0.0043760721475981645,1.218780954296056,0.1114636710700021,False,False,0.0009115314149125142,0.003467701651678645,-1.4243532897562604e-05,-5.1855775636835966e-05,0.004093241576343994,0.004107485109241557,0.0041112326269350215
3-Dec,2010-01-01,996,191,0.00286722613992485,0.8995424928349015,0.18418188631708,False,False,0.0008987286051442833,0.001970268271235698,-7.308636750520507e-06,-1.3786852942621053e-07,0.0037021541086128588,0.0037094627453633793,0.0037127995445192055
4-Dec,2010-01-01,996,191,0.0027225577578881,1.0437926028358921,0.14829067736317003,False,False,0.0009088826859430243,0.0018153249893974044,-6.291511897381103e-06,2.1131920391249948e-05,0.0034594856542450583,0.0034657771661424394,0.003468930016573251
5-Dec,2010-01-01,996,191,0.0018039287718459862,0.7713646568605211,0.220245408979324,False,False,0.000824116243928863,0.0009806206733431466,-3.2893665622567465e-06,-1.1994780993354603e-05,0.0033510826670626347,0.0033543720336248915,0.003357138706165765
6-Dec,2010-01-01,996,191,0.0014122512421176348,0.7929874366061218,0.2138925712666444,False,False,0.0008605835784843974,0.0005521428286845431,-1.6149024267752762e-06,-3.7902972159428727e-06,0.002923176189441275,0.0029247910918680504,0.002927310287030197
7-Dec,2010-01-01,996,191,0.0016361895140142302,0.9384265528116096,0.17401262278518748,False,False,0.0006547718328707708,0.0009820607068323772,-2.7789195726074523e-06,7.089297756425472e-06,0.0028269031492383395,0.002829682068810947,0.0028315360788791545
8-Dec,2010-01-01,996,191,0.0004301154690469211,0.31463516715782797,0.3765193373706812,False,False,0.00024952873008154963,0.00018063181179206467,-4.2873122580236456e-07,8.830071231299974e-06,0.002373080240139325,0.0023735089713651275,0.0023741013778670315
9-Dec,2010-01-01,996,191,0.00016849886207948028,0.1855577337818543,0.4263958006940227,False,False,0.00011038682295971824,5.8118454631328476e-05,-1.1836416580028597e-07,2.088367524445689e-06,0.0020364837194768613,0.0020366020836426616,0.0020368269224955546
Hi 10,2010-01-01,996,191,-0.0017793645225225863,-1.0024857157322993,0.841945468963742,False,False,-0.002148271566604798,0.0003681162304511876,-6.419047034779413e-07,-4.779066289331557e-06,0.001743113600700885,0.001743755505404363,0.0017400174753367016
